ID,ENG,POL,UKR,ITA,SPA,GER,CHI,JPN
0,"English","Polski","Українська","Italiano","Español","Deutsch","中文","日本語"
1,"Choose a language","Wybierz język","Виберіть мову","Scegli una lingua","Elija un idioma","Wählen Sie eine Sprache","选择语言","言語を選択"
2,"Confirm","Potwierdź","Підтвердити","Conferma","Confirmar","Bestätigen","确认","確認"
3,"Cancel","Anuluj","Відмінити","Annulla","Cancelar","Abbrechen","取消","キャンセル"
4,"Back","Wstecz","Назад","Indietro","Atrás","Zurück","返回","戻る"
5,"Next","Dalej","Далі","Avanti","Siguiente","Weiter","下一步","次へ"
6,"Done","Gotowe","Готово","Fatto","Hecho","Fertig","完成","完了"
7,"Yes","Tak","Так","Sì","Sí","Ja","是","はい"
8,"No","Nie","Ні","No","No","Nein","否","いいえ"
9,"OK","OK","OK","OK","OK","OK","OK","OK"
10,"Retry","Ponów","Повторити","Riprova","Reintentar","Wiederholen","再试一次","もう一度"
11,"Try again","Spróbuj ponownie","Спробуйте ще раз","Riprova","Inténtalo de nuevo","Erneut versuchen","再试一次","もう一度"
12,"Continue","Kontynuuj","Продовжити","Continua","Continuar","Fortsetzen","继续","続ける"
13,"Install modification","Zainstaluj modyfikację","Встановити модифікацію","Installare la modifica","Instalar la modificación","Modifikation installieren","安装修改","修正をインストール"
14,"Game files will be unpacked by installer","Pliki gry zostaną rozpakowane przez instalator","Файли гри будуть розпаковані за допомогою інсталятора","I file del gioco saranno scompattati dall'installatore","Los archivos del juego se descomprimirán por medio del instalador","Spieldateien werden durch den Installer entpackt","游戏文件将由安装程序解压","ゲームファイルはインストーラーによって解凍されます"
15,"Unpacking game files...","Rozpakowywanie plików gry...","Розпакування файлів гри...","Decompressione dei file del gioco...","Descomprimiendo los archivos del juego...","Spieldateien werden entpackt...","解压游戏文件...","ゲームファイルを解凍しています…"
16,"Unpacking game files failed!","Rozpakowywanie plików gry nie powiodło się!","Розпакування файлів гри не вдалося!","Decompressione dei file del gioco non riuscita!","La descompresión de los archivos del juego ha fallado!","Spieldateien konnten nicht entpackt werden!","解压游戏文件失败！","ゲームファイルの解凍に失敗しました！"
17,"Final Fantasy VIII","Final Fantasy VIII","Final Fantasy VIII","Final Fantasy VIII","Final Fantasy VIII","Final Fantasy VIII","Final Fantasy VIII","Final Fantasy VIII"
18,"Demaster reborn","Demaster reborn","Demaster reborn","Demaster reborn","Demaster reborn","Demaster reborn","Demaster reborn","Demaster reborn"
19,"created by Maki","stworzone przez Maki","створено Maki","creato da Maki","creado por Maki","erstellt von Maki","由Maki创建","Makiによって作成された"
20,"Unpacked files not detected!","Nie wykryto rozpakowanych plików!","Не виявлено розпакованих файлів!","File non decompressi non rilevati!","No se han detectado archivos descomprimidos!","Nicht entpackte Dateien wurden nicht gefunden!","未发现已解压文件！","解凍されたファイルが見つかりませんでした！"
21,"You have to have unpacked game files to play!","Musisz mieć rozpakowane pliki gry, aby grać!","Ви повинні мати розпаковані файли гри, щоб грати!","Devi avere i file del gioco scompattati per giocare!","¡Tienes que tener los archivos del juego descomprimidos para jugar!","Sie müssen die entpackten Spieldateien spielen, um zu spielen!","游戏文件必须解压才能游戏！","ゲームファイルが解凍されていないとゲームできません！"
22,"Europe version detected: FFVIII_EFIGS.dll","Wykryto wersję europejską: FFVIII_EFIGS.dll","Виявлено европейську версію: FFVIII_EFIGS.dll","Versione europea rilevata: FFVIII_EFIGS.dll","Versión europea detectada: FFVIII_EFIGS.dll","Europäische Version erkannt: FFVIII_EFIGS.dll","检测到欧洲版本：FFVIII_EFIGS.dll","ヨーロッパバージョンが検出されました：FFVIII_EFIGS.dll"
23,"Japan version detected: FFVIII_JP.dll","Wykryto wersję japońską: FFVIII_JP.dll","Виявлено японську версію: FFVIII_JP.dll","Versione giapponese rilevata: FFVIII_JP.dll","Versión japonesa detectada: FFVIII_JP.dll","Japanische Version erkannt: FFVIII_JP.dll","检测到日本版本：FFVIII_JP.dll","日本版本が検出されました：FFVIII_JP.dll"
24,"DemasterReborn settings","Ustawienia DemasterReborn","Налаштування DemasterReborn","Impostazioni DemasterReborn","Ajustes DemasterReborn","DemasterReborn Einstellungen","DemasterReborn 设置","DemasterReborn 设置"
